text,processed_text,created,screenName,id
"#Budget2019 | With the right technology and policy, India has the potential to leapfrog into the future, provide… https://t.co/UVdvLlj92r",budget right technology policy india potential leapfrog future provide,2019-07-05T12:02:58Z,mbhasin30,1147113638160846848
South Korea's state-run Export-Import Bank of Korea has agreed to provide $1.5bn in framework financing to Indonesi… https://t.co/n07rPCFEZd,south korea staterun exportimport bank korea agreed provide bn framework financing indonesi,2019-07-05T11:55:04Z,ArgusMedia,1147111649880498178
"05 July 2019 Evening PIVOT &amp; BREAKOUT LEVELS

#Commodity #CommodityBreakoutLevel #CommodityPivot #Bullionfox… https://t.co/7NcQwhGumS",july evening pivot amp breakout level commodity commoditybreakoutlevel commoditypivot bullionfox,2019-07-05T11:45:39Z,BullionFoxComm,1147109280799064064
"#Budget2019 | With the right technology and policy, India has the potential to leapfrog into the future, provide… https://t.co/zwHBwtza1c",budget right technology policy india potential leapfrog future provide,2019-07-05T11:41:15Z,KPMGIndia,1147108175516033024
RT @macrohedged: Friday: Key Volume &amp; Volatility Skew for Crude Oil Options: https://t.co/emtxjis8NG #CL_F #CrudeOil #WTI $USO #OOTT $UCO $…,rt macrohedged friday key volume amp volatility skew crude oil option clf crudeoil wti uso oott uco,2019-07-05T11:41:02Z,Normaltrip,1147108119589412864
Total Approves Dunga Phase 3 Launch https://t.co/sBjUlYh7HO | #oil #crudeoil #brentoil #forex #fx #trading #trade… https://t.co/jrQjmL19j2,total approves dunga phase launch oil crudeoil brentoil forex fx trading trade,2019-07-05T11:40:14Z,forexoilfort,1147107917180624896
"From the traders to common person, what do you think about this? #investor #buyers #crudeoil #DayTrading #Intraday https://t.co/RWv1e2vHzD",trader common person think investor buyer crudeoil daytrading intraday,2019-07-05T11:24:31Z,rakz_27,1147103962027270144
"Sonatrach, Eni to accelerate North Berkine oil and gas projects https://t.co/ZqzkTq1icC | #oil #crudeoil #brentoil… https://t.co/K6Okd20LcU",sonatrach eni accelerate north berkine oil gas project oil crudeoil brentoil,2019-07-05T11:10:27Z,forexoilfort,1147100421972004864
RT @macrohedged: It's Friday and here is the Implied Volatility v Futures Price for WTI Crude Oil: https://t.co/MUPJTOmV5F #CL_F #CrudeOil…,rt macrohedged friday implied volatility v future price wti crude oil clf crudeoil,2019-07-05T11:10:02Z,Normaltrip,1147100317462487040
"@EddieTofpik Daily #TechnicalAnalysis on #Energy #Market covering #NYMEX #WTI #CrudeOil, ICE #Brent, NYMEX #Heating… https://t.co/K3DNxI3zoT",eddietofpik daily technicalanalysis energy market covering nymex wti crudeoil ice brent nymex heating,2019-07-05T10:54:06Z,ADMISI_Live,1147096308156702721
"Sonatrach, Eni to accelerate North Berkine oil and gas projects https://t.co/fsRzVRP06g | #oil #crudeoil #brentoil… https://t.co/BgdTg2FBtk",sonatrach eni accelerate north berkine oil gas project oil crudeoil brentoil,2019-07-05T10:48:09Z,forexoilfort,1147094809519304704
"#Brent crude ⬆️ inches up, U.S. #oil falls ⬇️ on weak economic data..
#crudeoil #opec #shale #oott 
https://t.co/BMKaINwvTA",brent crude inch u oil fall weak economic data crudeoil opec shale oott,2019-07-05T10:47:02Z,AlexisAshi,1147094528115073024
India's state-run Mangalore Refinery and Petrochemicals Ltd (#MRPL) has made its first purchase of U.S.-produced Th… https://t.co/71Wvd2Rkxb,india staterun mangalore refinery petrochemical ltd mrpl made first purchase usproduced th,2019-07-05T10:42:15Z,advisorymandi,1147093326346063876
"Hear our experts' overview of Commodity Pulse, with the  #podcast #Commodity #MCX #Metals #Bullion #CrudeOil… https://t.co/yuMlDoiim8",hear expert overview commodity pulse podcast commodity mcx metal bullion crudeoil,2019-07-05T10:17:17Z,hdfcsec,1147087041777160192
"VLCC Grace 1, oil cargo seized for breaching EU sanctions on Syria: Gibraltar govt
https://t.co/xsuV0IEPSJ #VLCC… https://t.co/c4fbOAOsyk",vlcc grace oil cargo seized breaching eu sanction syria gibraltar govt vlcc,2019-07-05T10:15:18Z,SvetlanaModeva,1147086544991395841
Weak global demand concerns seem to be outweighing the recent proposal from the OPEC+ pact to extend supply curbs i… https://t.co/eDT7yLEWUL,weak global demand concern seem outweighing recent proposal opec pact extend supply curb,2019-07-05T09:56:56Z,abhijitc4,1147081920477425664
"Oil Prices likely to rebound over the course of this year following the OPEC+ deal, supply concerns in #Iran #Libya… https://t.co/WrmcfHxhZD",oil price likely rebound course year following opec deal supply concern iran libya,2019-07-05T09:56:55Z,abhijitc4,1147081916513845248
"RT @PlattsOil: #Crudeoil futures stable to lower on growth concerns, seeks fresh cues https://t.co/1jmdqHBpXW https://t.co/CHmqkaPwUb",rt plattsoil crudeoil future stable lower growth concern seek fresh cue,2019-07-05T09:53:55Z,oilhighlights,1147081162206134273
"VLCC Grace 1, oil cargo seized for breaching EU sanctions on Syria: Gibraltar govt
https://t.co/RJAiAGXcrN #VLCC… https://t.co/E9nbuHgUZN",vlcc grace oil cargo seized breaching eu sanction syria gibraltar govt vlcc,2019-07-05T09:52:00Z,VesselFinder,1147080679882145792
"RT @PlattsOil: Benchmark #Dubaicrude oil futures spreads were up a tad in mid-morning trading in Asia, as #crudeoil market participants eva…",rt plattsoil benchmark dubaicrude oil future spread tad midmorning trading asia crudeoil market participant eva,2019-07-05T09:37:34Z,oilhighlights,1147077049254895616
"@OnlyStockTips Buy MCX and NSE Auto Trader .. here @ 390 rs per month https://t.co/O5qvsbtLvB 
#NSE #MCX #equity… https://t.co/pDoOcO4YxO",onlystocktips buy mcx nse auto trader r per month nse mcx equity,2019-07-05T09:32:36Z,Pratikool007,1147075798827843584
"@IndiaEtfs Buy MCX and NSE Auto Trader .. here @ 390 rs per month https://t.co/O5qvsbtLvB 
#NSE #MCX #equity #lupin… https://t.co/57lRo2B3Hh",indiaetfs buy mcx nse auto trader r per month nse mcx equity lupin,2019-07-05T09:32:29Z,Pratikool007,1147075768301654016
"@smartinvestor Buy MCX and NSE Auto Trader .. here @ 390 rs per month https://t.co/O5qvsbtLvB 
#NSE #MCX #equity… https://t.co/xdiffnllWY",smartinvestor buy mcx nse auto trader r per month nse mcx equity,2019-07-05T09:32:21Z,Pratikool007,1147075736676605952
"Buy MCX and NSE Auto Trader .. here @ 390 rs per month https://t.co/O5qvsbtLvB
#NSE #MCX #equity #lupin #CrudeOil… https://t.co/tRIUvb9Ubn",buy mcx nse auto trader r per month nse mcx equity lupin crudeoil,2019-07-05T09:30:25Z,Pratikool007,1147075246916169729
"Get Best #forex Signal
https://t.co/OF9YDXQEk4 
Whatsapp/Telegram+1(347)434-9044
#forextrading #ForexTrader… https://t.co/d0V2VNttjH",get best forex signal whatsapptelegram forextrading forextrader,2019-07-05T09:24:49Z,EquidiousSignal,1147073838733152262
"RT @macrohedged: Here is Friday's Crude Options surface overview: https://t.co/zEgMMwyniL
 
 #CL_F #CrudeOil #WTI $USO #OOTT $UCO $DBO #Bre…",rt macrohedged friday crude option surface overview clf crudeoil wti uso oott uco dbo bre,2019-07-05T09:12:35Z,oilbot123,1147070758662955009
RT @riskstaff: Growing sentiment in eastern #Libya that #LNA should shutter oil production and prevent #GNA from receiving oil revenues. Cu…,rt riskstaff growing sentiment eastern libya lna shutter oil production prevent gna receiving oil revenue cu,2019-07-05T09:12:26Z,oilbot123,1147070724449996805
RT @riskstaff: Growing sentiment in eastern #Libya that #LNA should shutter oil production and prevent #GNA from receiving oil revenues. Cu…,rt riskstaff growing sentiment eastern libya lna shutter oil production prevent gna receiving oil revenue cu,2019-07-05T09:04:52Z,Neerajtechnosys,1147068817224298496
"RT @Fx_Junkies: #UnionJackOil From Malcy's blog today: ""My view of #WestNewton has been clear, it is a massive discovery that has yet to be…",rt fxjunkies unionjackoil malcys blog today view westnewton clear massive discovery yet,2019-07-05T09:01:42Z,charliecrane1,1147068022500151297
"Here is Friday's Crude Options surface overview: https://t.co/zEgMMwyniL
 
 #CL_F #CrudeOil #WTI $USO #OOTT $UCO $DBO #Brent $BNO $XLE",friday crude option surface overview clf crudeoil wti uso oott uco dbo brent bno xle,2019-07-05T09:00:08Z,macrohedged,1147067626880995328
Growing sentiment in eastern #Libya that #LNA should shutter oil production and prevent #GNA from receiving oil rev… https://t.co/w8B6wh9ui2,growing sentiment eastern libya lna shutter oil production prevent gna receiving oil rev,2019-07-05T09:00:00Z,riskstaff,1147067593632690176
"RT @GIS_Reports: NEW REPORT by Dr.@carole_nakhle on the disruptive power of American tight oil.

🆕➡️https://t.co/ZMcb8E9Y8q

#America 🌎 #No…",rt gisreports new report drcarolenakhle disruptive power american tight oil america,2019-07-05T08:58:53Z,AccessWIE,1147067311347683328
"@EddieTofpik Daily #FREE #TechnicalAnalysis on #FOREX plus #Futures on #NYMEX #WTI #CrudeOil, #FTSE, #DAX, S&amp;P,… https://t.co/igs2CGOB2k",eddietofpik daily free technicalanalysis forex plus future nymex wti crudeoil ftse dax sampp,2019-07-05T08:57:38Z,ADMISI_Live,1147066998993670144
U.S. #crudeoil inventories fall in latest survey https://t.co/hXZkdmfqk1,u crudeoil inventory fall latest survey,2019-07-05T08:30:00Z,kallanish,1147060043470102529
Mohammed Barkindo reappointed as Secretary General of OPEC https://t.co/HKoTCXkerR | #oil #crudeoil #brentoil… https://t.co/qbAF8oIxT1,mohammed barkindo reappointed secretary general opec oil crudeoil brentoil,2019-07-05T08:25:21Z,forexoilfort,1147058874836508672
RT @macrohedged: More for this Friday session - Most active strikes by Open Interest change for Crude Oil. These are ranked by OI change no…,rt macrohedged friday session active strike open interest change crude oil ranked oi change,2019-07-05T08:12:34Z,oilbot123,1147055658430271488
"#CrudeOil falls as #investors worry about global growth, Emerging #currencies like #Rand &amp; #Rupee to suffer vs #USD… https://t.co/VhbH0rwtoO",crudeoil fall investor worry global growth emerging currency like rand amp rupee suffer v usd,2019-07-05T08:08:19Z,TradeFredAU,1147054585632239616
"#CrudeOil falls amid growth worries, Emerging #currencies like #Rand &amp; #Rupee to suffer vs #USD, Mixed fortunes for… https://t.co/lZiyxXRtnT",crudeoil fall amid growth worry emerging currency like rand amp rupee suffer v usd mixed fortune,2019-07-05T08:07:01Z,TradeFredEU,1147054261827751937
"#CrudeOil falls as #investors worry about global growth, Emerging #currencies like #Rand &amp; #Rupee to suffer vs #USD… https://t.co/bLnJ5INtAA",crudeoil fall investor worry global growth emerging currency like rand amp rupee suffer v usd,2019-07-05T08:04:09Z,TradeFred,1147053537433726976
More for this Friday session - Most active strikes by Open Interest change for Crude Oil. These are ranked by OI ch… https://t.co/kHvxougt6h,friday session active strike open interest change crude oil ranked oi ch,2019-07-05T08:00:05Z,macrohedged,1147052516758233088
"#CRUDE INTRADAY GANN LEVELS 

#trading #money #futures #gann  #markets #traders #oott #eia #OPEC #Trump #China… https://t.co/pjmBzsMwrc",crude intraday gann level trading money future gann market trader oott eia opec trump china,2019-07-05T07:52:23Z,ARTOFTRADING_CO,1147050575504318464
"#commodity calls: now keep eye on #mcx #crudeoil , big fall is coming??

  @dswindia #dalalstreetwinners.… https://t.co/0AFRQn2HWE",commodity call keep eye mcx crudeoil big fall coming dswindia dalalstreetwinners,2019-07-05T07:49:07Z,DSWINDIA,1147049757061177345
RT The anti-China graffiti in Hong Kong’s legislature help explain deep divides https://t.co/wTB8r7EZSs #S&amp;P… https://t.co/Ag1LNeHmI1,rt antichina graffiti hong kongs legislature help explain deep divide sampp,2019-07-05T07:33:11Z,giri_navneet,1147045744832131072
RT Multiple injuries and two house fires reported after strongest earthquake in 20 years in California… https://t.co/JLRCxmAk6J,rt multiple injury two house fire reported strongest earthquake year california,2019-07-05T07:33:10Z,giri_navneet,1147045743129169927
RT One Japan stock index called the Mothers Index is defying a downward trend and has surged 30% this year… https://t.co/s1Oxdzw2HE,rt one japan stock index called mother index defying downward trend surged year,2019-07-05T07:33:10Z,giri_navneet,1147045740994338823
RT France's Canal+ plans to announce job cuts next week over as it comes under pressure from competition with Netfl… https://t.co/V97UI7MU38,rt france canal plan announce job cut next week come pressure competition netfl,2019-07-05T07:33:09Z,giri_navneet,1147045739354296320
RT Tiny Canadian tech firm Martello has surgef 89% since Wednesday after one of its executives was ousted as co-CEO… https://t.co/mLdZIO524p,rt tiny canadian tech firm martello surgef since wednesday one executive ousted coceo,2019-07-05T07:33:09Z,giri_navneet,1147045737601097728
"RT To his opponents, Jeremy Corbyn would take the country back to the 1970s.

His supporters see him as someone try… https://t.co/GsQAxCS40M",rt opponent jeremy corbyn would take country back supporter see someone try,2019-07-05T07:33:09Z,giri_navneet,1147045735436836865
RT Annual #FourthofJuly fireworks display lights up Washington skies. More here: https://t.co/OufizDtdfy… https://t.co/GEUv8nkRRx,rt annual fourthofjuly firework display light washington sky,2019-07-05T07:31:31Z,giri_navneet,1147045324504129537
"RT Aussie, NZ dollars to chill out as Fed feels the heat: Reuters poll https://t.co/o3CK1F6IpC… https://t.co/WM0TK52XoE",rt aussie nz dollar chill fed feel heat reuters poll,2019-07-05T07:26:10Z,giri_navneet,1147043980682637312
RT WATCH: Trump and Kim to reopen talks after historic meeting in Demilitarized Zone. More here:… https://t.co/LhOLEugjEx,rt watch trump kim reopen talk historic meeting demilitarized zone,2019-07-05T07:21:18Z,giri_navneet,1147042757178904577
"#FXFOCUS #TRADING #FOREX WE ARE CLOSING &amp; TAKING #PROFIT ON #CrudeOIL -22 PIPS 
 https://t.co/fYyG7dS7Zc",fxfocus trading forex closing amp taking profit crudeoil pip,2019-07-05T07:20:38Z,FXFocus,1147042588664295425
RT UK's competition regulator to examine Amazon investment in Deliveroo https://t.co/pOk25fh7X2… https://t.co/3oAsUDainX,rt uk competition regulator examine amazon investment deliveroo,2019-07-05T07:16:12Z,giri_navneet,1147041470400126976
RT NBA notebook: Nuggets' Porter sustains minor knee injury https://t.co/D8Cmp2Qr94 https://t.co/eqQWCgAyYc #S&amp;P… https://t.co/txr5vFS7WA,rt nba notebook nugget porter sustains minor knee injury sampp,2019-07-05T07:11:11Z,giri_navneet,1147040209776893954
RT What’s next for Von der Leyen and Lagarde in getting top jobs? Jumping through hoops https://t.co/r7uI1U4CjV #S&amp;… https://t.co/Rl1ktSn2Dg,rt whats next von der leyen lagarde getting top job jumping hoop samp,2019-07-05T07:08:41Z,giri_navneet,1147039580044111872
"RT RT BloombergAsia: JUST IN: India is pegging its fiscal 2020 budget deficit target at 3.3% of GDP, gross borrowin… https://t.co/DvPaNhobBU",rt rt bloombergasia india pegging fiscal budget deficit target gdp gross borrowin,2019-07-05T07:08:41Z,giri_navneet,1147039578295099394
"RT Bentley finally nails its SUV strategy with the Bentayga Hybrid V6, its least expensive offering… https://t.co/uaxEk1BckZ",rt bentley finally nail suv strategy bentayga hybrid v least expensive offering,2019-07-05T07:08:40Z,giri_navneet,1147039576894181377
RT A taped interview with an artist purported to be Banksy has been discovered in the U.K. https://t.co/SyDg0cdclX… https://t.co/O88Iys7zQ2,rt taped interview artist purported banksy discovered uk,2019-07-05T07:08:40Z,giri_navneet,1147039575363264514
RT One Japan stock index called the Mothers Index is defying has surged 30% this year https://t.co/n4MwrUnjzC #S&amp;P… https://t.co/n9xNaG5a0s,rt one japan stock index called mother index defying surged year sampp,2019-07-05T07:08:39Z,giri_navneet,1147039573484220416
RT Top bankers in Northern Europe should expect calls from headhunters https://t.co/vNaLnkSDWk #S&amp;P #Nasdaq… https://t.co/dLzmycqCwU,rt top banker northern europe expect call headhunter sampp nasdaq,2019-07-05T07:08:39Z,giri_navneet,1147039571890311168
RT Chinese overseas dealmaking plummets as the trade war keeps companies at home https://t.co/RfPVvcC66J #S&amp;P… https://t.co/P2ow1l9cJ2,rt chinese overseas dealmaking plummet trade war keep company home sampp,2019-07-05T07:08:39Z,giri_navneet,1147039570472648705
"RT China's buildings are watching how people shop, cook and steal https://t.co/Zm0WRaBvjX #S&amp;P #Nasdaq #CrudeOil… https://t.co/J8OQDWKHbj",rt china building watching people shop cook steal sampp nasdaq crudeoil,2019-07-05T07:08:38Z,giri_navneet,1147039568941789184
RT India’s government proposes easing rules for foreign investors and spending more on infrastructure to spur growt… https://t.co/rFVvaaXMZF,rt india government proposes easing rule foreign investor spending infrastructure spur growt,2019-07-05T07:08:38Z,giri_navneet,1147039565825421313
RT Libya’s most powerful military leader said he is focused on taking control of the capital Tripoli and isn’t inte… https://t.co/AF5gWumg4i,rt libya powerful military leader said focused taking control capital tripoli isnt inte,2019-07-05T07:08:37Z,giri_navneet,1147039564357414918
RT Orange CEO's future hangs in the balance as fraud verdict looms https://t.co/xYIjSWVMoU #S&amp;P #Nasdaq #CrudeOil… https://t.co/usgfgwRGsw,rt orange ceo future hang balance fraud verdict loom sampp nasdaq crudeoil,2019-07-05T07:08:37Z,giri_navneet,1147039562696396801
RT South African finance minister says he and the country’s central bank governor agreed to recommend two candidate… https://t.co/OXUXPcqVz4,rt south african finance minister say country central bank governor agreed recommend two candidate,2019-07-05T07:08:36Z,giri_navneet,1147039560356028416
RT Hong Kong students reject meeting chief executive over protests https://t.co/9zC1DkZf2U #S&amp;P #Nasdaq #CrudeOil… https://t.co/qhH1BPyX2p,rt hong kong student reject meeting chief executive protest sampp nasdaq crudeoil,2019-07-05T07:08:36Z,giri_navneet,1147039558502141952
RT South Korea has formally dissolved a Japanese-backed foundation meant to resolve a dispute over women trafficked… https://t.co/QiwGBA6cxi,rt south korea formally dissolved japanesebacked foundation meant resolve dispute woman trafficked,2019-07-05T07:08:35Z,giri_navneet,1147039556639907841
RT Traders downplaying South Africa credit risk should heed Turkey https://t.co/oD39K0HKBJ #S&amp;P #Nasdaq #CrudeOil… https://t.co/74L7ORX76U,rt trader downplaying south africa credit risk heed turkey sampp nasdaq crudeoil,2019-07-05T07:08:35Z,giri_navneet,1147039554769248256
RT RT tictoc: LATEST: A Virgin Atlantic flight to London was forced to make an emergency landing in Boston after a… https://t.co/n8O5HD5ifO,rt rt tictoc latest virgin atlantic flight london forced make emergency landing boston,2019-07-05T07:08:35Z,giri_navneet,1147039552873385984
RT It's U.S. payrolls day and the Deutsche Bank saga rolls on. Here's what's moving markets https://t.co/hnMUvjttZh… https://t.co/eFYMbHsqgP,rt u payroll day deutsche bank saga roll here whats moving market,2019-07-05T07:08:34Z,giri_navneet,1147039550931443714
RT How can India revive its slowing economy? India's finance minister unveils the game plan through the nation's an… https://t.co/xH2dehRMoP,rt india revive slowing economy india finance minister unveils game plan nation,2019-07-05T07:08:34Z,giri_navneet,1147039548892991495
"RT Billionaire U.S. coal tycoon Chris Cline dies in helicopter crash, just one day before his 61st birthday… https://t.co/AH5vEAzZY0",rt billionaire u coal tycoon chris cline dy helicopter crash one day st birthday,2019-07-05T07:08:33Z,giri_navneet,1147039546414129152
RT China prices first sovereign bonds in casino hub Macau https://t.co/LppO1zZEoL https://t.co/ez323UDssu #S&amp;P… https://t.co/iwcNqkCglq,rt china price first sovereign bond casino hub macau sampp,2019-07-05T07:06:39Z,giri_navneet,1147039068158607360
RT GM's H1 China vehicle sales down 15% year-on-year at 1.57 million units https://t.co/sEBhT7Bw1T… https://t.co/Kq6jAFx392,rt gm h china vehicle sale yearonyear million unit,2019-07-05T07:02:41Z,giri_navneet,1147038071906607105
RT Muslim women defy burkini ban at a French public pool https://t.co/Tmy6fLdn2l #S&amp;P #Nasdaq #CrudeOil… https://t.co/a7UF6lBwUL,rt muslim woman defy burkini ban french public pool sampp nasdaq crudeoil,2019-07-05T07:02:41Z,giri_navneet,1147038070065250304
RT Japanese households' inflation expectations hit near four-year high: BOJ survey https://t.co/L2WHWa2IAi… https://t.co/yzNKWqytBT,rt japanese household inflation expectation hit near fouryear high boj survey,2019-07-05T07:02:40Z,giri_navneet,1147038067817103361
RT Loonie to stay firm in a year so long as Bank of Canada lags U.S. rate cuts https://t.co/A4AAGo1Mc1… https://t.co/miSarxnBpe,rt loonie stay firm year long bank canada lag u rate cut,2019-07-05T07:02:40Z,giri_navneet,1147038065510273024
"RT With a court deadline looming, the Trump administration is looking at ‘every option’ as it seeks to add a conten… https://t.co/JnXkKeCDgs",rt court deadline looming trump administration looking every option seek add conten,2019-07-05T07:02:39Z,giri_navneet,1147038063706685440
RT SpiceJet plane blocking Mumbai runway moved: airport https://t.co/6kfxLfzSk3 https://t.co/HLXNABocTb #S&amp;P… https://t.co/EJk8QNw2Uk,rt spicejet plane blocking mumbai runway moved airport sampp,2019-07-05T07:02:39Z,giri_navneet,1147038061269848064
RT Former Rio de Janeiro governor tells judge he paid $2 million bribe to host 2016 Olympics… https://t.co/aPpZnUjzwH,rt former rio de janeiro governor tell judge paid million bribe host olympics,2019-07-05T07:02:38Z,giri_navneet,1147038056148606977
RT Calls for boycott of Japan grow in South Korea as labor row simmers https://t.co/CyBVtYczRN… https://t.co/LMVWy2Rbkq,rt call boycott japan grow south korea labor row simmer,2019-07-05T07:02:37Z,giri_navneet,1147038053485162496
"RT India's Modi govt releases budget to get growth back up, plans structural reforms https://t.co/6wWzxOvVAB… https://t.co/vmy7R8xVtm",rt india modi govt release budget get growth back plan structural reform,2019-07-05T07:02:36Z,giri_navneet,1147038051190935552
RT 'Wolf of Wall Street' producer charged with 1MDB money laundering in Malaysia https://t.co/tops57PesZ… https://t.co/bbdgDfm0cU,rt wolf wall street producer charged mdb money laundering malaysia,2019-07-05T07:02:36Z,giri_navneet,1147038049186000896
RT Bank of Japan Deputy Governor Amamiya says won't rule out any option if more easing needed… https://t.co/bSK5J1aVSE,rt bank japan deputy governor amamiya say wont rule option easing needed,2019-07-05T07:02:35Z,giri_navneet,1147038046979674112
"RT Dollar firm, market awaits U.S. jobs report for Fed clues https://t.co/2yLTArUPYo https://t.co/hYyovo0hj0 #S&amp;P… https://t.co/3BGKDemLri",rt dollar firm market awaits u job report fed clue sampp,2019-07-05T07:02:35Z,giri_navneet,1147038044933038082
RT China's Anbang to offload health insurance unit as government speeds up asset sales https://t.co/NJ52nS6wV3… https://t.co/zPwUKoof0M,rt china anbang offload health insurance unit government speed asset sale,2019-07-05T07:02:34Z,giri_navneet,1147038042244505600
RT BACKSTORY: Covering an unprecedented uprising in Hong Kong https://t.co/DU7MCnbvQw #ReutersBackstory… https://t.co/r1TYDgzWzY,rt backstory covering unprecedented uprising hong kong reutersbackstory,2019-07-05T07:02:34Z,giri_navneet,1147038040029847552
RT K-pop boy band #BTS is now in your pocket with a new mobile game. More here: https://t.co/GIsBFlzjkQ… https://t.co/d8TpnSu2J2,rt kpop boy band bts pocket new mobile game,2019-07-05T07:02:33Z,giri_navneet,1147038037379076096
"RT Sudan military council, opposition reach power-sharing agreement https://t.co/uC06MDH8WZ https://t.co/JwNeKkoFBQ… https://t.co/xM2szKB6tI",rt sudan military council opposition reach powersharing agreement,2019-07-05T07:02:33Z,giri_navneet,1147038035340615680
RT This fungus can recover precious metals from waste water https://t.co/3rL5PVFEGc via ReutersTV… https://t.co/p4EYr3zROU,rt fungus recover precious metal waste water via reuterstv,2019-07-05T07:02:32Z,giri_navneet,1147038033197359104
RT Brexit with a deal would give sterling a boost: Reuters poll https://t.co/62w6hpUwi8 https://t.co/9bI5aJdt09 #S&amp;… https://t.co/D4ueFDmqBZ,rt brexit deal would give sterling boost reuters poll samp,2019-07-05T07:02:32Z,giri_navneet,1147038030412353536
"RT BACKSTORY: When covering the uprising in Hong Kong, the professional and personal collide… https://t.co/HZrJSJqxzM",rt backstory covering uprising hong kong professional personal collide,2019-07-05T07:02:31Z,giri_navneet,1147038028176793600
Daily ORB price: 7/4/2019 https://t.co/bA0xFXwpSc | #oil #crudeoil #brentoil #forex #fx #trading #trade #livetradenews #brent #wti #crude,daily orb price oil crudeoil brentoil forex fx trading trade livetradenews brent wti crude,2019-07-05T07:02:07Z,forexoilfort,1147037926523580416
Mohammed Barkindo reappointed as Secretary General of OPEC https://t.co/LRcxMkACdp | #oil #crudeoil #brentoil… https://t.co/615OWqPjtq,mohammed barkindo reappointed secretary general opec oil crudeoil brentoil,2019-07-05T06:47:04Z,forexoilfort,1147034139905941505
"RT @EIAgov: In 2018, #Colorado produced 4% of U.S. #crudeoil and 5% of U.S. #naturalgas gross withdrawals. Colorado’s main oil- and natural…",rt eiagov colorado produced u crudeoil u naturalgas gross withdrawal colorado main oil natural,2019-07-05T06:41:11Z,sulpetro,1147032658314010624
